Chapter,Family,Name,Amount,Ingredient,Notes
,,Ramos Gin Fizz,1.5 oz,gin,
,,,1.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,4 dashes,bitters,
,,,1 oz,club soda,
,,,1,lemon wedge,garnish
,,,5-10 sec,shake,shake
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,Champagne Cocktails,Classic Champagne Cocktail,0.5 oz,brandy,
,,,0.5 oz,simple syrup,
,,,2 dashes,bitters,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,4 oz,champagne,
,,,1,champagne flute,glass
,,French 75,1 oz,gin,
,,,0.25,lemon,
,,,0.5 oz,simple syrup,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,4 oz,champagne,
,,,1,champagne flute,glass
,,Kir Royale,1 oz,Chambord,
,,,4 oz,champagne,
,,,1,blackberry,garnish
,,,1,champagne flute,glass
,,Mimosa,0.5 oz,Cointreau,
,,,1.5 oz,orange juice,
,,,3 oz,champagne,
,,,1,orange spiral,garnish
,,,1,champagne flute,glass
,,Kir,1 oz,Chambord,
,,,5 oz,dry white wine,
,,,1,blackberry,garnish
,,,1,wine glass,glass
,Aperitifs,Americano,1 oz,Campari,
,,,1 oz,sweet vermouth,
,,,2 oz,club soda,
,,,1,orange spiral,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Bronx,1 oz,gin,
,,,0.5 oz,sweet vermouth,
,,,0.5 oz,dry vermouth,
,,,3 oz,orange juice,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,1,cocktail glass,glass
,,Campari Royal,1 oz,Campari,
,,,1 oz,Grand Marnier,
,,,3 oz,orange juice,
,,,1,orange wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Milanese,1 oz,Campari,
,,,0.5 oz,Galliano,
,,,0.5 oz,amaretto,
,,,0.5,lemon,
,,,5-10 sec,shake,shake
,,,1,orange spiral,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,Digestifs,Moscow Mule,2 oz,vodka,
,,,1 oz,lime juice,
,,,0.5 oz,simple syrup,
,,,3 dashes,bitters,
,,,5-10 sec,shake,shake
,,,3 oz,ginger beer,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Sazerac,0.5 oz,Pernod,rinse
,,,2 oz,bourbon,
,,,0.5 oz,simple syrup,
,,,2 dashes,bitters,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,Pink Gin and Tonic,1.5 oz,gin,
,,,2 dashes,bitters,
,,,2 oz,tonic water,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Old Fashioned,1,orange slice,
,,,2,maraschino cherries,
,,,1,muddle,muddle
,,,2 oz,bourbon,
,,,0.5 oz,simple syrup,
,,,3 dashes,bitters,
,,,1,orange twist,garnish
,,,1,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,Muddled Cocktails,Mojito,12 to 15,mint leaves,
,,,0.5,lime,
,,,0.75 oz,simple syrup,
,,,1,muddle,muddle
,,,2 oz,rum,
,,,some,ice cubes,ice
,,,2 oz,club soda,
,,,1,sprig of mint,garnish
,,,1,highball glass,glass
,,Melon Mojito,3 or 4,1-inch melon chunks,
,,,12 to 15,mint leaves,
,,,0.5,lime,
,,,0.75 oz,simple syrup,
,,,1,muddle,muddle
,,,2 oz,rum,
,,,some,ice cubes,ice
,,,2 oz,club soda,
,,,1,sprig of mint,garnish
,,,1,highball glass,glass
,,Caipirinha,3,lime wedge,
,,,0.75 oz,simple syrup,
,,,1,muddle,muddle
,,,2 oz,cachaca,
,,,some,crushed ice,ice
,,,1,lime wedge,garnish
,,,1,rocks glass,glass
,,Strawberry Caipirinha,3 or 4,strawberries,
,,,3,lime wedge,
,,,0.75 oz,simple syrup,
,,,1,muddle,muddle
,,,2 oz,cachaca,
,,,some,crushed ice,ice
,,,1,lime wedge,garnish
,,,1,rocks glass,glass
,Tomato-Based Cocktails,Bloody Mary,1,salted rim,garnish
,,,1.5 oz,vodka,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,3.5 oz,tomato juice,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,lemon wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Bloody Caesar,1,celery salted rim,garnish
,,,1.5 oz,vodka,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,3.5 oz,clam-tomato juice,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,celery stalk,garnish
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Bloody Bull,1,salted rim,garnish
,,,1.5 oz,vodka,
,,,2 oz,beef bouillon,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,2 oz,tomato juice,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Bloody Maria,1,salted rim,garnish
,,,1.5 oz,tequila,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,3.5 oz,tomato juice,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Smokin' Hot Bloody Mary,1,salted rim,garnish
,,,1.5 oz,Absolut Peppar vodka,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco's Habanero sauce,
,,,1 tsp,horseradish,
,,,3.5 oz,tomato juice,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,jalapeno pepper,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Tastes of Rye Whiskey,Blue Bomber,12,blueberries,
,,,3,maraschino cherries,
,,,1,muddle,muddle
,,,1.5 oz,rye whiskey,
,,,0.5 oz,cherry brandy,
,,,1 oz,club soda,
,,,1,maraschino cherries,garnish
,,,some,crushed ice,ice
,,,1,rocks glass,glass
,,Ruby Red Rye,1.5 oz,rye whiskey,
,,,2.5 oz,red grapefruit juice,
,,,1 oz,tonic water,
,,,1,orange wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Rye and Dry,1.5 oz,rye whiskey,
,,,2.5 oz,ginger ale,
,,,1,lemon wedge,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Classic Hummer,1 oz,rye whiskey,
,,,1 oz,Kahlua,
,,,1 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,3,coffee beans,garnish
,,,1,hurricane glass,glass
,Tastes of Irish Whiskey,Dublin Peach,1 oz,Irish whiskey,
,,,0.5 oz,vanilla vodka,
,,,0.5 oz,amaretto,
,,,1 oz,peach puree,
,,,0.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,peach slice,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Rugburn,6,raspberries,
,,,1,muddle,muddle
,,,1.5 oz,Irish whiskey,
,,,0.5 oz,Chambord,
,,,0.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,2 oz,red cranberry juice,
,,,3,raspberries,garnish
,,,some,crushed ice,ice
,,,1,highball glass,glass
,,Dr. J,1.5 oz,Irish whiskey,
,,,0.5 oz,vanilla vodka,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,3 oz,ginger ale,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,That's a Corker,0.5,diced lemon,
,,,1,muddle,muddle
,,,1.5 oz,Irish whiskey,
,,,0.5 oz,Galliano,
,,,0.25,lemon,
,,,0.5 oz,simple syrup,
,,,some,crushed ice,ice
,,,1,rocks glass,glass
Summer Sippers,Sun & Sand Cocktails,Rum Runner,0.5 oz,light rum,
,,,0.5 oz,Chambord,
,,,0.5 oz,banana liqueur,
